,0,1,2
0,@EgyptTodayMag,2024-03-30T16:15:58.000Z,"Egypt’s FM holds a joint press conference with French and Jordanian FM in Cairo, saying they have underlined the need for an immediate, permanent ceasefire in Gaza and unhindered aid delivery.

#Egypt #Palestine #MiddleEast #Israel #GAZA | #تحيا_مصر #مصر #فلسطين  #سامح_شكري #غزة"
1,@wRLMyxE7ZEr5CKr,2024-03-30T16:11:20.000Z,It is rulers and governments who start wars! All citizens are against war! All citizens want to have dinner together as a family every day. Against war! Against war! ! Against war! ! ! #Украина #Россия #Палестина #Газа #Израиль #Ukraine #Russia #Palestine #Gaza #Israel
2,@WireDispatch,2024-03-30T16:13:04.000Z,"News II:

Pro-#Palestine activists try to prevent warship in San Francisco from moving to support #Israel .

#Follow for more #news #Updates

#IDF #Israel #Palestine #Hamas #Lebanon #Hezbollah #Yemen"
3,@MiddleEastEye,2024-03-30T15:05:10.000Z," UPDATE #Israel #Palestine 

Around 20 relatives of Israeli captives in Gaza demanded Netanyahu's resignation, urging lawmakers to support their call for his ""immediate replacement.""

Follow our live updates below 
https://middleeasteye.net/live/gaza-israel-hamas-palestine-war-conflict…"
4,@JerryHicksUnite,2024-03-30T14:58:30.000Z,"#ShowTheWorld #Protest4Palestine #London
Protest for Palestine and Gaza
Stop the genocide
30th March 2024
Protesters have gathered in London UK for the 11th National March for Palestine
https://trib.al/jkBFyql 
#Israel #Gaza #Palestine #genocide #Ceasefire"
5,@quds_feed,2024-03-30T16:06:08.000Z," Urgent| 20 wounded by occupation bullets, while Palestinians were trying to reach their homes near Al-Aqsa University in Khan Yunis.

#غزة #فلسطين #غزة_تحت_القصف #طوفان_الأقصى
#Gaza #GazaUnderAttack #Palestine #Photography #News #Israel"
6,@svanwessem,2024-03-30T16:04:29.000Z,"“There have already been too many casualties since Oct. 7. Let’s not allow history to be one of them.”

Right 
@KairosSabeel_NL
 @SabeelJerusalem
 @SabeelKairos
?

#palestine #israel #replacementtheology"
7,@3beadMohamed,2024-03-30T16:00:12.000Z,"Resistance affects the descendants of monkeys, pigs and snakes #Gaza_in_Genocide #Palestine_Genocide #Israel #Palestine #طوفات_الاقصى"
8,@Dil_Aw_Jan,2024-03-30T14:24:21.000Z,#Palestine #Gaza #DALS #Israel #news
9,@NoaLevi07102023,2024-03-30T16:02:38.000Z,"HEADLINES
- **IDF Strikes Gaza Hospital, Eliminates Key Hamas Leaders in Precision Operation**
- **Netanyahu Faces Criticism Over Alleged Obstruction ...
12 PM update of Israel Today: Ongoing War Report
Listen and Subscribe: https://podcasts.apple.com/us/podcast/israel-today-ongoing-war-report/id1713244419…
#Israel #Hamas #Gaza #Palestine"
10,@WKazingmei,2024-03-30T16:01:48.000Z,"Hamas member comes back to his house and finds a group of Gazans taking shelter, he calls his friend over and beats them.
#MiddleEast #Hamas #HamasTerrorists #FreeGazaFromHamas #FreePalestine #Palestine #Gaza #Israel #IsraelPalestineWar #BringThemHome"
11,@lunahezame,2024-03-30T15:56:49.000Z,"unfortunately!
corrupt people are leading Muslim countries.. and all governments are complicit with #Israel and #USA in this brutality... there will come a day when we will have our #Palestine insha'Allah.
#Gaza #GazaGenocide #IsraeliNazis #NetanyahuWarCriminal"
12,@Itongadol,2024-03-30T15:48:05.000Z,"Rusia condenó el ataque que le atribuyen a Israel  sobre Siria 
#Russia #Putin #Israel #Syria 
Nota 
https://agenciaajn.com/noticia/rusia-condeno-ataque-atribuido-a-israel-en-siria-235615…

#HamasisISIS #Israel #Gaza #Hamas   #فلسطين #بالقدس #السلطة  #هنية #نابلس #السهم_الواقي #اطلاع‌نگاشت #Palestine #Yihadبخانيونس #qatar #جنين #Hezbollah"
13,@NabilaRamdani,2024-03-30T15:42:26.000Z,"Pro-#Palestine demos in #Paris still going strong to the tune of “My Blood is Palestinian” by 
@MohammedAssaf89
 who grew up in a refugee camp in #Gaza. The marchers are “all Palestinian”  today to call for an end to the ongoing #Israel-i #genocide of the Palestinian people."
14,@lloydparkeriow,2024-03-30T12:43:34.000Z,"When you are so bigotted, so racist, so pro #GazaGenocide 
This is exactly what you say
And guess what
They have bought many Senators to Reps to repeat these LIES
#Zionism is a mental illness
#Gaza
#Palestine 
#Israel
#America"
15,@AdamSaeedSweden,2024-03-30T15:39:24.000Z,"The Zionist thugs have a lot of power & control but together the world will sooner or later put an end this supremist ideology.
#svpol #svpolitik #norpol #dkpol 
@UKparliament
 @Houseofcommons
 @UKHouseofLords
 #GazaGenocide #Palestine #Gaza #Apartheid #Israel"
16,@JoBaudoin,2024-03-30T14:48:07.000Z,"Nouvelle décoration pour SFR, propriété de Patrick Drahi. #Palestine #Israel #Gaza #manifestation"
17,@Prabhxt,2024-03-29T18:34:09.000Z,"And yet they cry why are they being attacked
#Terroristattack 
#terrorist 
#terrorism 
#Palestine 
#Israel"
18,@TheManarShow,2024-03-30T02:25:17.000Z,"You cannot, truthfully, call the butchering of men, women, and especially children, horrific? You support the biggest of the butchers, Benjamin Netanyahu. Or is the issue mainly with the men, women, and children of the West? 
#BenjaminNetanyahu #Israel #Palestine"
19,@NicolettaLucher,2024-03-30T15:37:08.000Z,"- Say?
- I have to stay on a diet. Do you have something to close your stomach?
- The news, ma'am.
#news #Guerra #Guerre #Ucrania #Palestine #Gaza #Israel #Russia 
#30marzo"
20,@Idontcare3232,2024-03-30T15:39:12.000Z,#Israel #Gaza #Gazze #Filistin #Palestine #Hamas #gazaunderattack #ceasefire #Trending #FreePalestine #Palestina #USA #MedioOriente #PalestinaLibre
21,@heenaOnly,2024-03-30T15:35:49.000Z,"I will write ""Tabah"" #Israel ;
May I write ""Free"" #Palestine !!"
22,@abdelkarroum,2024-03-30T15:33:55.000Z," BERLIN on March 29, 2024, Demonstration in support of #Gaza #Palestine marred by Arrests..... where has our freedom of expression gone??The German government is quickly forgetting its past...  #Melenchon #PlandUrgence93 #Israel #Gaza_in_Genocide #Molina #Qatargate"
23,@noellelenoir,2024-03-30T07:42:19.000Z,"#Israel #7oct #Palestine
présentation du film poignante, un spectacle révoltant à la vue de ces sauvages décervelés et brainwashes hurlant et gesticulant pour appeler au #meurtre des #juifs! Croyez bien que les juifs ne sont pas seuls à avoir la nausée face à ces  #barbares!"
24,@ShaikhHashir4,2024-03-30T15:31:23.000Z,"#Palestine qiyamat ki nishaniyaan puri hoti ja rhi h... End is near
#Israel #Gaza"
25,@Majtrekker,2024-03-30T15:31:34.000Z,#BREAKING_NEWS #london comes out to support #palestine and against the #Genocide_in_Gaza #israel is a terror state which must be stopped by any means necessary from further slaughter and destruction
26,@creterion,2024-03-30T15:31:19.000Z,"Quran ask #Muslims, patience to extent of so much tht he may die in it (as in #Palestine) but shud not lose hope or faith in Allah. Allah informs the Hardships of #Palestinians are nothing in front of Hardships on Day of Hardship, the Day of horrors to deniers (#usa #uk #israel)"
27,@OldS0ULNewWorld,2024-03-30T15:29:15.000Z,"#DailyWire Debacle Getting Worse#ChristIsKing
#CandaceOwens #Censorship #Israel #Palestine #FreeSpeech #DaveRubin #BenShapiro"
28,@AlaslamHmayh,2024-03-30T15:27:15.000Z,"Have you heard about the truth about the corpse in Gaza that sends messages on the phone? See for yourself 
#Palestine #Israel"
29,@Salman323190113,2024-03-30T15:23:47.000Z," Salute to the #Indian workers for a call of #Humanity 

Indian workers refuse to handle #IsraeliNazis #Cargo and also deny to handle #Ships from #Countries supporting #Israel against #Palestine"
30,@t_flower_g,2024-03-30T13:53:23.000Z,"Simply mentally ill. Being unempathetic is a form of psychopathy, brainwashed or not... it's pathological. #ICJ_evidence #IsraeliCrimes #GazaGenocide #EthnicCleansingOfPalestine #PalestineHolocaust #Gaza #Palestine #Israel
@CIJ_ICJ
 @UNHumanRights
 @hrw
 @amnesty"
31,@anna69844943,2024-03-30T15:25:45.000Z,#Palestine How is Israel treating you  ? after you all murdered them in their sleep. You fkd up. Now you pay the price.  #Israel
32,@lesecologistes1,2024-03-30T06:31:35.000Z,#Israel #Cisjordanie #Palestine : an Israeli documentary  denounces the illegal colonization of Nathanayou
33,@RealWorldImage,2024-03-30T15:22:39.000Z,"Palestinian protesters try to disrupt an anti-Semitic rally in Davidshall, Malmö, Sweden. October, 2023. Gary Moore photos. Real World Photographs. #realworldphotographs #war #Israel #Palestine #Malmo #Sweden #protest #garymoorephotography #conflict #police #polis"
34,@AlainFrNews,2024-03-30T15:19:05.000Z,"Tragedy in Gaza during aid distribution: five dead and thirty injured

#Gaza #Palestine #Israel #Tesyeuxsurlemonde"
35,@The_Prophet_369,2024-03-30T15:23:17.000Z,"In this place where I once died
Demons dreaming
Knowing I... I just needed to realign
Fell in a river of illusion
Drowning in a self-induced confusion
I'd rather be yeah
In this place where I once died
#WWIII #Israel #UkraineRussiaWar #Palestine #UFO #UFOs"
36,@roo7yn,2024-03-30T15:22:14.000Z,"Singing happily, gloating the murder of a Palestinian family that was shot by IDF.

What a disgusting world are we living in? 
.
#Israel #IsraelisISIS #IsraelIsATerroristState #Gaza #GazaGenocide #Palestine #فلسطين #غزة"
37,@LebiTigray,2024-03-30T15:21:25.000Z,"#Israel population are NOT #jews of the #bible they are colonial demons from #Europe that have hijacked Judaism religion and Jew identity
#Palestine_Genocide 
#Palestine
#Famine 
#Holocaust"
38,@InfosMinutesFR,2024-03-30T15:17:20.000Z, /   : Malaysian police arrested a Franco-Israeli in Kuala Lumpur with numerous firearms and suspected of being close to the Mossad. #France #Israel #Gaza #Palestine #Malaisie
39,@Intent_A,2024-03-30T15:17:04.000Z,"#Russia #Gaza #Palestine #Hezbollah #Iran #Israel 

Sheikh Imran Hosein: 

Israel´s false-flag operation in Gaza & Russia on Palestinian side

Video 
https://odysee.com/@TMSLL:6/Sheikh-Imran-Hosein--Israel%C2%B4s-false-flag-operation-in-Gaza---Russia-on-Palestinian-side:5…"
40,@BOVETDidier,2024-03-29T14:48:11.000Z,"#Gaza War,meeting with a high officer : We have destroyed 18 Hamas Bataillons /24. So Estimated~10/15 000 KIA in 6 months.
Hamas : 30 000 +IslamicDjihad 10 000, loss ~25 % /6 months. So 2 years will be necessary to achieve our goal to eradicate Hamas #Israel #Palestine #NATO"
41,@Romernyheter,2024-03-30T15:12:06.000Z,"Israel fires at the UN and has injured UN personnel and denies it! Don't you see how sick Israel is and wants to cover up everything they do now!

https://youtube.com/watch?v=uhURGpElVlo…
#Israel #Usa #Uk #Palestine #Genocide"
42,@Awakened_Hybrid,2024-03-30T15:11:27.000Z,"Just WOW!

#zionism #israel #palestine"
43,@Hus53006Kashif,2024-03-30T15:11:22.000Z,"Astaghfir Allah, look at the condition of Al-Aqsa Mosque

What happened to my soul?
I am asking for your grace

I am obsessed with seeing you
Not at all in my actions
Peace be upon him 

#Hezbollah #lebanon #Al_Aqsa #Gijzeling #Israel #America #Palestine #Gaza #Hamas #Syria"
44,@ilpolitico_web,2024-03-30T15:09:27.000Z,"#Gaza  today the Red Crescent managed to deliver 10 parcels of food aid to the population of Gaza.

#Israel #GazaWar #Palestine"
45,@Ragiel1130561,2024-03-30T13:53:23.000Z,#Palestine #Israel  #Gaza #이스라엘 #팔레스타인 #가자 #전쟁 #인류 #테러리스트 #パレスチナ #ガザ #イスラエル
46,@AlfredoSegarra4,2024-03-30T15:05:12.000Z,"Wait for the end #bible #gaza #israel #jesus #palestine #youtubemadefory... https://youtube.com/shorts/sGd3dAJiNck?si=D-HM_EFCdza8iR6f… via 
@YouTube"
47,@arabnews,2024-03-30T09:40:37.000Z,"#UPDATE: #Jordan's FM 
@AymanHsafadi
 - We can deal with famine in #Gaza in short term if #Israel opens crossing for aid to enter #Palestine #Hamas https://arab.news/pe2aq"
48,@Mahanologytv,2024-03-30T15:07:35.000Z,"Israel's Alternative Project to Suez Canal
https://youtu.be/bAUtXKjtP-w

#israel #suez #egypt #palestine #news #mahanology"
49,@MattLCapon,2024-03-30T12:35:40.000Z,"As the #Palestine march has made its way past the #Israel counter protest it has become very tense with several incidents inc. one person who appeared to be holding a particularly nasty anti-semitic sign.

There's now a pro-#Palestinian sit down protest on Aldwych."
50,@serena03843,2023-12-01T13:34:41.000Z,"#Israel #Palestine 

4200 palestiniens emprisonnés depuis 7 octobre  2023 ! "
51,@IiReMMO,2024-03-30T15:00:02.000Z,"#ÀSavoir |  In #MasaferYatta , south of #Hébron , #Israël to begin in 2022 the expulsion of the inhabitants #palestiniens of 8 villages to create a military training zone.
 On Yaani, the Palestinians and their wounds bear witness
https://yaani.fr/post/les-blessures-qui-ne-cicatrisent-pas-%C3%A0-masafer-yatta…
#Cisjordanie #Palestine"
52,@BoyInStocks,2024-03-29T19:33:13.000Z,"Many, if not all, of da #Palestine #protesters are being paid to be at da #protest. Go #Woke, go broke.
#IsraelPalestineWar #Israel 
#SlavaUkraini 
#WokeMindVirus"
53,@tworldreviews,2024-03-30T15:01:08.000Z," Belgium announces recognition of Palestine as an independent state, calling for #Israel to prioritize humanitarian aid access to #Gaza, especially for civilians and children. A significant stance in pursuit of peace and justice.

 #Belgium #Palestine #HumanitarianAid "
54,@DrHbooks,2024-03-30T14:55:12.000Z,#War #peace #palestine #israel #middleeast #ceasfirenow #ceasefirenow #art #illustration #digitalart #digitalillustration #press #freedom #freespeach #journalism #freejournalism
55,@AndreaDoremus,2024-03-29T21:07:56.000Z,"On #GoodFriday, #Easter2024, s of #Christians & allies so powerfully marked #Jesus’ #StationsOfTheCross & passion, calling out #Christian-identified politicians to practice the Gospel of love & justice as preached by #JesusChrist in #Israel #Palestine.

#Boston #mapoli #bospoli"
56,@palinfoen,2024-03-30T15:00:00.000Z,"#Israel has ""directly hit"" 212 schools in #Palestine's Gaza since October 7, a UN-partnered analysis has said, adding if Israel ends its war on #Gaza, at least 67% of schools ""will either need full reconstruction or major rehabilitation work to be functional again""
#GazaHoloucast"
