,0,1,2
0,@quds_feed,2024-03-30T20:24:37.000Z,"A demonstration in Tahrir Square in the capital, Baghdad, in support of the Palestinian people and the resistance in Gaza.

#غزة #فلسطين #غزة_تحت_القصف #طوفان_الأقصى
#Gaza #GazaUnderAttack #Palestine #Photography #News #Israel #Occupation

https://chat.whatsapp.com/IUyQ6UDOxGz8g6R9hsMyXJ…"
,0,1,2
0,@LapuLap31940616,2024-03-30T16:55:52.000Z,"Honestly, haven't you noticed lately? Since #Ukraine , #Palestine  and #Israel  wars. I see more and more #conservatives fighting each other instead against the real threat(#WEF, #WHO, etc). I see this a lot in the #Netherlands also. #WakeUp !!"
1,@SawtBeirut,2024-03-30T21:05:40.000Z,"An American demands a nuclear attack on Gaza, only to find another citizen who confronts him
#palestine #GazaGenocide #Israel #USA"
2,@NoaLevi07102023,2024-03-30T21:03:41.000Z,"HEADLINES
""Airstrikes in Syria Escalate Tensions Amidst Israeli-Hamas Standoff""
""Nationwide Protests in Israel Demand Hostage Release, Criticize Netan...
05 PM update of Israel Today: Ongoing War Report
Listen and Subscribe: https://podcasts.apple.com/us/podcast/israel-today-ongoing-war-report/id1713244419…
#Israel #Hamas #Gaza #Palestine"
3,@xavier_heim,2024-03-30T21:05:38.000Z,"Beautiful day in #Dallas, #TX. Good time to stand against the supporters of Hamas terrorists.

#IStandWithIsrael   

#Israel #Palestine #Gaza #Rafah 
@IDF
 @Israel"
4,@love_sissi1,2024-03-29T17:03:57.000Z,"#palestine #israel #IsraeliWarCrimes #WestBank #humanrights 
@CIJ_ICJ"
5,@quds_feed,2024-03-30T20:58:57.000Z," Urgent | The government media office in Gaza: The occupation targeted 1,050 homes in the vicinity of the Shifa complex and killed more than 400 martyrs.

#غزة #فلسطين #غزة_تحت_القصف #طوفان_الأقصى
#Gaza #GazaUnderAttack #Palestine #Photography #News #Israel #Occupation"
6,@ParamotornewsEn,2024-03-30T20:58:07.000Z,"Major demonstrations in ""Israel"" demanding the overthrow of the government and Netanyahu, attacking police cars, closing roads, and complete chaos, and things tend to escalate.
#Israel #GazaHoloucast #GazaIsStarving #Palestine"
7,@SoulScribe43,2024-03-30T20:56:27.000Z,"#LandDay #Zionist were imported into #Palestine by #Hitler & the #West. The ideology; a Jew is anyone who had an ancestors in Judaism. No matter if your follow or not. If any did, you are a Jew. The ideology behind #Aliyah to #Israel.

The struggle of the #Palestinian is #Nazism"
8,@CarymaRules,2024-03-30T20:54:04.000Z,"Two sets of protesters take to the streets at Yonge and Dundas.

Queen’s Park Regulars were vastly outnumbered by pro-Palestine supporters, and ultimately had to detour their usual parade route. 

#cdnpoli #Toronto #Palestine #Israel #Gaza #ProtestMania"
9,@aminseif89,2024-03-30T13:53:23.000Z,"A terrorist Zionist from #israel, feeling happy about dead civilians. #palestine will be free and we will sing on Zionists graves."
,0,1,2
0,@LAVERITE____,2024-03-30T22:37:05.000Z,"Tebboune : 
“L’Algérie est toujours avec les opprimés et la Palestine aura ses droits. 
L’Algérie dépassera les 400 milliards en 2026 إن شاء الله”

#Palestine #Israel #Gaza #Algerie"
1,@SawtBeirut,2024-03-30T22:34:18.000Z,"Demonstrations in various countries of the world on Earth Day demanding an end to the genocide in Gaza
#palestine #GazaGenocide #Israel"
2,@quds_feed,2024-03-30T22:32:36.000Z," Urgent| Occupation forces storm the town of Beit Ummar, north of Hebron.

#غزة #فلسطين #غزة_تحت_القصف #طوفان_الأقصى
#Gaza #GazaUnderAttack #Palestine #Photography #News #Israel"
3,@Alikamr98396852,2024-03-30T22:32:20.000Z,"In one side is #Israel ,  #Biden  and  his team  and the another side is whole of  free people in the world.
Israel is #disgrace  of #Humanity , #Freedom and #Justice.
#free  people of world stand with #Palestine  #forEver ."
4,@SixFigureLatino,2024-03-30T19:20:00.000Z,"#Israel has lost all credibility in 2024.

The banking system, the #ADL, #Germany...nothing can turn the global popular opinion any longer.

#Palestine may have lost the battle, but in practice, it has permanently defeated Israel."
5,@Tercron,2024-03-30T20:06:35.000Z,"#Gaza #Palestine #Hamas #HamasTerrorists 
#Israel 
 #Islam #Muslims"
6,@InfosMinutesFR,2024-03-30T22:23:21.000Z," /  : “Today, Israel finds itself in the worst global situation since its creation; the world hates us, support for us is at an all-time low, and anti-Semitism has reached a new high. » - Channel 12 #Israel #Palestine #Gaza"
7,@Hus53006Kashif,2024-03-30T22:23:58.000Z," Video of underground Iranian ballistic missile base

#Hezbollah #Lebanon #iran #Israel #America #Palestine #Gaza #SaudiArabia #طوفان_الولاء #غزة_الآن #حماس #ابو_عبيدة"
8,@reasonandrevolt,2024-03-30T19:52:44.000Z,"#Gaza #Palestine
#UK #Tories #Israel #WarCrimes #Genocide"
9,@avtramontano,2024-03-30T14:30:30.000Z,#FreePalestine #Biden #GenocideJoe #zionism #DeathCult #Israel #genocide #TheHague #WorldCourt #ICJ #UN #Palestine
10,@HappinessPatrol,2024-03-30T22:18:59.000Z,"Aid ships with nearly 400 tonnes of food depart Cyprus for Gaza https://aje.io/skrd32 via 
@AJEnglish
 #Palestine #Gaza #GazaWar #HumanitarianAid #OpenArms #WorldCentralKitchen #Cyprus #Larnaca #Hamas #HamasTerrorists #IDF #Israel #IsraelHamasWar"
11,@infoJATIASIH,2024-03-30T22:18:28.000Z,"Very well said! 

#Gaza #Israel #genocide #Palestine #Zionism"
12,@lahuppesalomon,2024-03-30T22:13:56.000Z,"After a false flag.
All the Jewish supremacists are touring the stages to pour out the recital like flies.
#gaza #israel #AttentatMoscou #palestine"
13,@gnr2525,2024-03-30T22:16:05.000Z,"Stop ethnic cleansing and genocide RIGHT NOW!

Stop the killing!

#Israel
#Palestine
#Jerusalem
#Lebanon"
14,@mbarnes49021432,2024-03-30T22:13:33.000Z,"https://johnmenadue.com/we-need-a-peoples-tribunal-on-palestine-and-gaza/… Let's at least tell the truth about 7/10 and genocide as the UN cannot give Gazans a ceasefire, let alone peace. #Palestine #Israel #warcrimes #PeoplesTribunal #Vietnam #MSM #disinformation #lies #secrecy  #ICJ #ICC"
15,@AClaiborne_Noah,2024-03-30T22:11:25.000Z,Netanyahu under pressure as global protests and conflicts with Hamas escalate https://noah-news.com/gb/en/news/2024/03/30/netanyahu-under-pressure-as-global-protests-and-conflicts-with-hamas-escalate… #Israel #Palestine #InternationalRelations
16,@ccFreePalestine,2024-03-30T22:11:04.000Z,"The biggest genocide backers of them all.

#USA #Patriot #Patriots #FreePalestine #Israel #Palestine #Gaza #BDS"
17,@Aiham_souliman,2024-03-30T22:09:17.000Z,"Settlers handcuff themselves during a mass demonstration in #Tel_Aviv, demanding a prisoner exchange deal..

#Palestine 
#Israel."
18,@EmoryJohnMich7,2024-03-30T21:59:00.000Z,"#Israel  #Palestine 
No amount of lies, hasbara, or revisionist propaganda can change the fact that Israel was born in terrorism and is sustained by terrorism."
19,@NoaLevi07102023,2024-03-30T22:03:11.000Z,"HEADLINES
**NYU Cancer Researcher Fired Over Anti-Hamas Posts, Sparks Free Speech Debate**
**U.S. Proposes High-Tech Strategy to Minimize Civilian Cas...
06 PM update of Israel Today: Ongoing War Report
Listen and Subscribe: https://podcasts.apple.com/us/podcast/israel-today-ongoing-war-report/id1713244419…
#Israel #Hamas #Gaza #Palestine"
